,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
4170,2022-08-09 07:10:52+00:00,https://twitter.com/Kisia_Fathee/status/1556900806519029762,Kisia_Fathee,Twitter for Android,,"I did not choose BLUE, blue chose ME. #inawezekana #Azimio WE ARE MANY!!! https://t.co/aH5fqKff4i",124,3,0,3
4171,2022-08-09 07:01:30+00:00,https://twitter.com/ManedMUFC/status/1556898448229777408,ManedMUFC,Twitter for iPhone,"Nairobi, Kenya","Voted #Raila 
Tujenge nchi 
No to false promises .",0,0,0,0
4172,2022-08-09 07:01:17+00:00,https://twitter.com/HoodAssNigga1/status/1556898391925432320,HoodAssNigga1,Twitter for Android,,"Ruto the fifth🔥❤️
#mypresident
#RutoThe5THPresident 
#RutoThe5th 
#Raila",1,0,0,0
4173,2022-08-09 07:00:57+00:00,https://twitter.com/NiclausB/status/1556898311130517505,NiclausB,Twitter for iPhone,"Nairobi, Kenya",Aki kenyans 😂😂 #elections #elections2022 #kenya #kura #azimio #uda https://t.co/89jLBaCx7J,1,1,0,0
4174,2022-08-09 06:53:38+00:00,https://twitter.com/Drickolu/status/1556896470313435136,Drickolu,Twitter for Android,,The 5th is on the Move...#BabaThe5th  VOTE BLUE #AZIMIO💙💙💙💙💙,0,0,0,0
4175,2022-08-09 06:48:28+00:00,https://twitter.com/RingoNbi/status/1556895170003476480,RingoNbi,Twitter for Android,Terra Firma,Do not get dissuaded. Oh  sijui Smartmatic KIEMS has a glitch. Oh sijui cant find my stream . Oh its getting late . Dont get discouraged or dissuaded.  #StayInLine #VoteBlue #Azimio #Raila #Martha https://t.co/Nh8LImrtiO,1,1,0,0
4176,2022-08-09 06:41:57+00:00,https://twitter.com/michielwil/status/1556893530261540864,michielwil,Twitter for Android,London / Cape Town / Nairobi,"Election Day is underway across Kenya with millions out to vote 

Long queues outside Westlands Primary School in Nairobi a.m.

The first results are expected tomorrow morning at the earliest ➡️ https://t.co/NLiOlRvBAA

 #KenyaDecides2022 #Raila #Ruto #KenyasChoice2022 #Kenya https://t.co/FK8Rh9wXz9",3,1,0,0
4177,2022-08-09 06:40:03+00:00,https://twitter.com/JoelHamisMsuya/status/1556893051989200899,JoelHamisMsuya,Twitter for Android,,"Kila la heri kwa #Wakenya🇰🇪 wote, wanapoendelea kwasasa na zoezi la uchaguzi la kuamua ni nani wa kuliongoza taifa hilo kama raisi wa awamu ya tano wa jamhuri ya Kenya. Ni #Raila ama #Ruto? Tuwaachie Wakenya.
#WakenyaWanaamua. https://t.co/DMLBqbjfcJ",29,1,0,0
4178,2022-08-09 06:37:03+00:00,https://twitter.com/Methodiasjuma/status/1556892296464957442,Methodiasjuma,Twitter for Android,"Busia, Kenya","By Any Means! If you like it or not
#JustVoted
#KenyasChoice2022
#KenyaDecides2022
#Bungoma
#Raila
#RutoThe5th
#Wajackoyah
#FirimbiMovement https://t.co/YBEQdckheq",3,3,0,0
4179,2022-08-09 06:20:25+00:00,https://twitter.com/OtienoJabura/status/1556888109215846404,OtienoJabura,Twitter for Android,Kenya,"@TheODMparty Post millennium (excellence), Kenyans ushered in #RainbowCoalition Govt, with #Vision2030 as the golden generational Promise. Jury is out there.

Today we usher in a Govt that'll foundationally roll (out)
#Vision2063. That Govt is #Azimio! #AzimioNdioJibu.
#Inawezekana #VoteBlue",0,0,0,0
